customer_id,trans_date,tran_amount,response,month,year,day,month_year,Segment
CS5489,2014-12-02,77,0,12,2014,2,2014-12,High Value
CS4563,2011-05-30,101,0,5,2011,30,2011-05,High Value
CS3508,2012-05-23,67,0,5,2012,23,2012-05,High Value
CS2703,2014-10-12,40,1,10,2014,12,2014-10,High Value
CS2596,2013-05-01,76,0,5,2013,1,2013-05,Medium Value
CS5990,2012-10-19,103,0,10,2012,19,2012-10,High Value
CS4215,2011-07-09,54,0,7,2011,9,2011-07,High Value
CS4811,2012-01-26,77,1,1,2012,26,2012-01,High Value
CS2070,2013-01-30,41,0,1,2013,30,2013-01,High Value
CS3419,2015-01-29,38,0,1,2015,29,2015-01,High Value
CS3668,2014-08-14,102,0,8,2014,14,2014-08,High Value
CS4623,2013-09-27,89,1,9,2013,27,2013-09,High Value
CS4708,2013-07-02,48,0,7,2013,2,2013-07,High Value
CS1816,2013-09-22,64,0,9,2013,22,2013-09,High Value
CS5376,2013-12-08,44,0,12,2013,8,2013-12,High Value
CS4568,2011-11-15,70,0,11,2011,15,2011-11,High Value
CS1779,2012-01-27,53,0,1,2012,27,2012-01,High Value
CS2447,2011-07-10,82,0,7,2011,10,2011-07,High Value
CS1985,2011-08-16,87,0,8,2011,16,2011-08,High Value
CS2544,2011-11-07,64,0,11,2011,7,2011-11,High Value
CS2158,2012-09-11,89,0,9,2012,11,2012-09,High Value
CS5776,2014-09-09,87,0,9,2014,9,2014-09,High Value
CS5653,2013-09-04,98,0,9,2013,4,2013-09,High Value
CS2291,2014-10-15,67,0,10,2014,15,2014-10,High Value
CS6088,2012-10-29,48,0,10,2012,29,2012-10,High Value
CS4245,2014-06-02,102,0,6,2014,2,2014-06,High Value
CS3344,2014-07-02,56,0,7,2014,2,2014-07,Medium Value
CS1481,2013-12-23,50,0,12,2013,23,2013-12,Medium Value
CS5400,2011-12-23,56,0,12,2011,23,2011-12,High Value
CS5463,2014-08-27,91,0,8,2014,27,2014-08,High Value
CS5951,2014-08-07,104,1,8,2014,7,2014-08,High Value
CS5515,2012-02-19,41,0,2,2012,19,2012-02,High Value
CS3039,2012-05-01,92,0,5,2012,1,2012-05,High Value
CS1836,2012-03-24,63,0,3,2012,24,2012-03,High Value
CS4320,2014-04-09,52,1,4,2014,9,2014-04,High Value
CS4889,2011-12-01,38,0,12,2011,1,2011-12,High Value
CS1319,2011-09-26,95,0,9,2011,26,2011-09,High Value
CS4859,2015-01-07,50,1,1,2015,7,2015-01,High Value
CS4148,2014-02-08,40,0,2,2014,8,2014-02,High Value
CS5264,2013-04-03,81,0,4,2013,3,2013-04,High Value
CS4041,2014-12-29,49,0,12,2014,29,2014-12,High Value
CS2183,2013-01-04,39,0,1,2013,4,2013-01,Medium Value
CS2516,2015-02-15,55,0,2,2015,15,2015-02,High Value
CS1890,2012-11-03,37,0,11,2012,3,2012-11,High Value
CS3730,2013-02-11,89,1,2,2013,11,2013-02,High Value
CS5382,2013-03-07,48,1,3,2013,7,2013-03,High Value
CS5970,2014-06-13,40,0,6,2014,13,2014-06,High Value
CS5260,2015-01-30,46,1,1,2015,30,2015-01,High Value
CS2437,2011-11-13,90,0,11,2011,13,2011-11,High Value
CS4675,2011-09-11,67,0,9,2011,11,2011-09,High Value
CS2920,2011-10-11,87,0,10,2011,11,2011-10,High Value
CS2548,2013-09-28,73,1,9,2013,28,2013-09,High Value
CS1818,2011-12-26,46,0,12,2011,26,2011-12,High Value
CS6098,2012-09-28,42,1,9,2012,28,2012-09,High Value
CS2712,2011-12-26,65,0,12,2011,26,2011-12,High Value
CS2714,2011-12-14,69,0,12,2011,14,2011-12,Medium Value
CS2615,2013-08-17,39,0,8,2013,17,2013-08,High Value
CS5445,2014-07-27,72,0,7,2014,27,2014-07,High Value
CS5812,2014-11-02,62,0,11,2014,2,2014-11,High Value
CS4636,2013-09-22,66,0,9,2013,22,2013-09,High Value
CS3147,2014-06-04,84,1,6,2014,4,2014-06,High Value
CS1273,2012-02-01,91,0,2,2012,1,2012-02,High Value
CS4243,2011-11-11,48,0,11,2011,11,2011-11,High Value
CS2357,2012-04-13,71,0,4,2012,13,2012-04,High Value
CS1776,2014-05-03,79,0,5,2014,3,2014-05,High Value
CS5643,2013-03-02,104,0,3,2013,2,2013-03,High Value
CS4522,2015-03-06,82,0,3,2015,6,2015-03,High Value
CS2418,2015-02-01,51,0,2,2015,1,2015-02,Medium Value
CS1330,2014-11-21,41,0,11,2014,21,2014-11,High Value
CS1195,2014-12-29,83,0,12,2014,29,2014-12,High Value
CS4306,2015-03-07,54,0,3,2015,7,2015-03,High Value
CS2137,2013-09-29,73,0,9,2013,29,2013-09,High Value
CS3518,2013-06-19,54,0,6,2013,19,2013-06,High Value
CS5835,2011-09-18,52,1,9,2011,18,2011-09,High Value
CS4701,2015-01-15,95,0,1,2015,15,2015-01,High Value
CS4548,2012-06-28,38,0,6,2012,28,2012-06,Medium Value
CS2384,2012-10-15,35,0,10,2012,15,2012-10,High Value
CS4081,2013-02-17,74,0,2,2013,17,2013-02,High Value
CS5976,2012-01-02,99,0,1,2012,2,2012-01,High Value
CS3874,2011-09-08,44,0,9,2011,8,2011-09,High Value
CS5356,2014-06-17,105,1,6,2014,17,2014-06,High Value
CS4667,2014-09-17,66,0,9,2014,17,2014-09,Medium Value
CS4328,2012-06-04,56,0,6,2012,4,2012-06,High Value
CS3291,2013-08-02,42,0,8,2013,2,2013-08,High Value
CS4282,2011-09-11,44,0,9,2011,11,2011-09,High Value
CS4331,2011-09-25,70,0,9,2011,25,2011-09,High Value
CS1243,2013-03-17,36,0,3,2013,17,2013-03,High Value
CS2390,2014-05-20,104,0,5,2014,20,2014-05,Medium Value
CS2207,2014-04-05,71,0,4,2014,5,2014-04,High Value
CS1270,2011-11-18,104,0,11,2011,18,2011-11,High Value
CS1219,2014-11-11,91,0,11,2014,11,2014-11,High Value
CS5427,2012-11-13,96,1,11,2012,13,2012-11,High Value
CS5474,2011-05-18,69,0,5,2011,18,2011-05,High Value
CS5109,2012-05-23,92,0,5,2012,23,2012-05,High Value
CS5287,2015-03-14,94,0,3,2015,14,2015-03,High Value
CS3477,2013-05-05,80,0,5,2013,5,2013-05,High Value
CS3970,2011-12-13,86,0,12,2011,13,2011-12,High Value
CS5760,2011-12-08,59,0,12,2011,8,2011-12,High Value
CS2149,2013-04-04,83,0,4,2013,4,2013-04,High Value
CS4934,2014-07-19,80,1,7,2014,19,2014-07,High Value
CS1517,2013-10-18,89,0,10,2013,18,2013-10,High Value
CS1641,2012-12-29,64,0,12,2012,29,2012-12,High Value
CS2187,2011-11-19,70,0,11,2011,19,2011-11,High Value
CS5359,2014-08-12,96,0,8,2014,12,2014-08,Medium Value
CS3124,2011-12-08,71,0,12,2011,8,2011-12,High Value
CS1721,2012-08-30,96,0,8,2012,30,2012-08,High Value
CS5212,2015-01-22,42,0,1,2015,22,2015-01,High Value
CS5111,2011-08-23,81,1,8,2011,23,2011-08,High Value
CS3137,2012-04-04,67,0,4,2012,4,2012-04,High Value
CS1511,2015-01-25,69,0,1,2015,25,2015-01,High Value
CS2509,2014-02-23,92,0,2,2014,23,2014-02,Medium Value
CS5994,2014-01-11,42,0,1,2014,11,2014-01,High Value
CS2613,2013-08-25,103,0,8,2013,25,2013-08,High Value
CS1934,2014-08-18,89,0,8,2014,18,2014-08,High Value
CS3127,2011-10-02,39,0,10,2011,2,2011-10,High Value
CS5225,2014-03-18,104,1,3,2014,18,2014-03,High Value
CS1815,2012-11-17,83,0,11,2012,17,2012-11,Medium Value
CS3552,2014-04-27,102,0,4,2014,27,2014-04,High Value
CS1893,2013-11-17,42,0,11,2013,17,2013-11,High Value
CS3621,2013-10-26,56,0,10,2013,26,2013-10,High Value
CS4330,2013-07-17,59,0,7,2013,17,2013-07,High Value
CS4991,2013-07-20,90,0,7,2013,20,2013-07,High Value
CS2312,2013-10-22,37,0,10,2013,22,2013-10,High Value
CS2359,2012-06-04,90,1,6,2012,4,2012-06,High Value
CS4798,2012-12-06,84,1,12,2012,6,2012-12,High Value
CS2507,2012-06-28,94,0,6,2012,28,2012-06,High Value
CS1430,2014-09-02,71,0,9,2014,2,2014-09,High Value
CS3787,2013-10-23,48,0,10,2013,23,2013-10,High Value
CS4103,2013-04-14,89,0,4,2013,14,2013-04,High Value
CS2881,2012-09-24,54,0,9,2012,24,2012-09,High Value
CS1854,2011-09-29,74,0,9,2011,29,2011-09,High Value
CS2863,2012-12-23,102,0,12,2012,23,2012-12,High Value
CS5292,2013-09-04,64,1,9,2013,4,2013-09,High Value
CS3184,2012-01-07,88,0,1,2012,7,2012-01,High Value
CS2049,2013-10-07,66,0,10,2013,7,2013-10,High Value
CS2832,2013-07-16,105,0,7,2013,16,2013-07,High Value
CS2251,2013-04-12,99,0,4,2013,12,2013-04,High Value
CS5667,2014-02-25,66,0,2,2014,25,2014-02,High Value
CS1327,2012-02-19,38,0,2,2012,19,2012-02,High Value
CS4927,2013-08-12,37,0,8,2013,12,2013-08,High Value
CS2302,2012-09-09,100,0,9,2012,9,2012-09,High Value
CS3901,2012-09-11,82,0,9,2012,11,2012-09,High Value
CS5762,2013-04-21,85,0,4,2013,21,2013-04,High Value
CS2289,2012-03-13,89,0,3,2012,13,2012-03,High Value
CS2867,2012-02-09,56,1,2,2012,9,2012-02,High Value
CS2359,2014-08-10,87,1,8,2014,10,2014-08,High Value
CS5814,2011-12-12,72,1,12,2011,12,2011-12,Medium Value
CS5129,2011-06-21,102,0,6,2011,21,2011-06,High Value
CS2597,2012-06-03,42,0,6,2012,3,2012-06,High Value
CS5838,2012-09-01,96,0,9,2012,1,2012-09,High Value
CS5800,2012-04-23,86,0,4,2012,23,2012-04,High Value
CS3786,2013-07-16,66,0,7,2013,16,2013-07,High Value
CS3659,2012-05-19,77,0,5,2012,19,2012-05,High Value
CS4400,2011-09-03,97,0,9,2011,3,2011-09,High Value
CS3026,2012-06-03,55,0,6,2012,3,2012-06,High Value
CS3632,2013-02-10,72,0,2,2013,10,2013-02,High Value
CS1452,2012-03-23,79,0,3,2012,23,2012-03,Medium Value
CS5140,2014-07-11,97,0,7,2014,11,2014-07,High Value
CS5383,2013-12-29,73,0,12,2013,29,2013-12,High Value
CS4695,2013-09-17,48,0,9,2013,17,2013-09,High Value
CS2368,2012-08-10,66,0,8,2012,10,2012-08,High Value
CS2066,2011-07-15,51,0,7,2011,15,2011-07,Medium Value
CS5277,2011-07-12,90,1,7,2011,12,2011-07,High Value
CS3025,2011-12-30,72,1,12,2011,30,2011-12,Medium Value
CS4802,2011-06-25,45,0,6,2011,25,2011-06,High Value
CS6001,2014-02-16,63,0,2,2014,16,2014-02,High Value
CS3981,2014-09-20,74,0,9,2014,20,2014-09,High Value
CS3885,2014-04-29,56,0,4,2014,29,2014-04,High Value
CS5546,2012-08-28,79,0,8,2012,28,2012-08,High Value
CS4964,2014-05-20,79,0,5,2014,20,2014-05,High Value
CS4881,2014-01-21,55,0,1,2014,21,2014-01,High Value
CS4103,2014-03-02,40,0,3,2014,2,2014-03,High Value
CS5884,2012-12-19,97,0,12,2012,19,2012-12,High Value
CS2765,2013-04-18,88,0,4,2013,18,2013-04,High Value
CS4438,2014-07-05,72,1,7,2014,5,2014-07,High Value
CS2234,2014-12-21,36,0,12,2014,21,2014-12,Medium Value
CS3015,2014-01-30,58,0,1,2014,30,2014-01,High Value
CS3755,2015-01-01,45,0,1,2015,1,2015-01,High Value
CS3927,2014-03-25,77,1,3,2014,25,2014-03,High Value
CS5799,2012-11-08,101,0,11,2012,8,2012-11,High Value
CS5708,2011-06-03,89,0,6,2011,3,2011-06,High Value
CS3695,2013-04-20,51,0,4,2013,20,2013-04,High Value
CS1969,2014-10-23,39,0,10,2014,23,2014-10,High Value
CS3854,2014-11-09,104,1,11,2014,9,2014-11,High Value
CS3416,2015-02-23,57,0,2,2015,23,2015-02,High Value
CS1414,2013-12-01,104,0,12,2013,1,2013-12,High Value
CS4732,2013-03-27,96,0,3,2013,27,2013-03,High Value
CS2493,2012-12-29,85,0,12,2012,29,2012-12,High Value
CS5851,2013-01-19,98,0,1,2013,19,2013-01,High Value
CS1678,2014-05-09,48,0,5,2014,9,2014-05,High Value
CS2049,2013-03-19,36,0,3,2013,19,2013-03,High Value
CS3676,2011-09-27,43,0,9,2011,27,2011-09,High Value
CS4853,2012-03-27,68,0,3,2012,27,2012-03,High Value
CS4292,2014-03-04,98,0,3,2014,4,2014-03,High Value
CS3152,2014-12-15,40,0,12,2014,15,2014-12,Medium Value
CS5640,2014-01-13,77,0,1,2014,13,2014-01,High Value
CS5857,2012-09-26,85,0,9,2012,26,2012-09,Medium Value
CS1472,2014-04-12,72,0,4,2014,12,2014-04,High Value
CS3888,2012-02-22,70,0,2,2012,22,2012-02,High Value
CS5563,2013-06-23,70,0,6,2013,23,2013-06,Medium Value
CS5104,2012-09-17,99,0,9,2012,17,2012-09,High Value
CS6109,2013-11-01,92,0,11,2013,1,2013-11,High Value
CS2352,2014-10-06,62,1,10,2014,6,2014-10,High Value
CS4024,2014-02-01,39,0,2,2014,1,2014-02,High Value
CS1499,2011-12-24,91,0,12,2011,24,2011-12,High Value
CS3071,2012-09-15,39,0,9,2012,15,2012-09,High Value
CS5638,2014-12-16,58,0,12,2014,16,2014-12,High Value
CS5533,2013-05-16,73,0,5,2013,16,2013-05,High Value
CS1961,2012-03-29,75,0,3,2012,29,2012-03,High Value
CS1707,2011-09-15,105,0,9,2011,15,2011-09,High Value
CS3692,2014-09-17,48,0,9,2014,17,2014-09,High Value
CS1275,2011-12-28,102,0,12,2011,28,2011-12,High Value
CS4738,2013-03-20,37,0,3,2013,20,2013-03,High Value
CS3732,2011-06-12,83,1,6,2011,12,2011-06,High Value
CS5676,2013-12-16,44,0,12,2013,16,2013-12,High Value
CS4111,2012-07-26,54,0,7,2012,26,2012-07,High Value
CS2074,2015-01-05,79,0,1,2015,5,2015-01,High Value
CS5815,2015-01-03,92,0,1,2015,3,2015-01,High Value
CS5094,2015-03-07,84,0,3,2015,7,2015-03,High Value
CS5431,2013-01-05,55,0,1,2013,5,2013-01,Medium Value
CS4540,2014-08-13,55,1,8,2014,13,2014-08,High Value
CS1891,2013-03-25,84,0,3,2013,25,2013-03,Medium Value
CS4389,2013-03-22,70,1,3,2013,22,2013-03,High Value
CS4412,2012-01-07,47,0,1,2012,7,2012-01,High Value
CS1697,2014-07-13,98,0,7,2014,13,2014-07,High Value
CS2720,2012-04-11,72,0,4,2012,11,2012-04,High Value
CS1152,2012-08-04,71,0,8,2012,4,2012-08,High Value
CS3796,2013-09-14,37,0,9,2013,14,2013-09,High Value
CS6066,2013-08-23,66,0,8,2013,23,2013-08,High Value
CS2643,2014-07-20,69,0,7,2014,20,2014-07,High Value
CS6056,2014-03-22,104,0,3,2014,22,2014-03,High Value
CS3489,2013-01-09,76,0,1,2013,9,2013-01,High Value
CS5229,2011-11-23,58,0,11,2011,23,2011-11,Medium Value
CS4649,2014-12-16,93,0,12,2014,16,2014-12,High Value
CS4372,2014-08-27,71,0,8,2014,27,2014-08,High Value
CS1790,2012-10-04,100,0,10,2012,4,2012-10,High Value
CS1475,2012-08-20,73,0,8,2012,20,2012-08,High Value
CS2452,2014-04-05,77,0,4,2014,5,2014-04,High Value
CS2781,2011-06-02,51,0,6,2011,2,2011-06,High Value
CS5260,2014-09-25,89,1,9,2014,25,2014-09,High Value
CS5155,2011-12-25,100,0,12,2011,25,2011-12,High Value
CS1582,2014-05-24,46,1,5,2014,24,2014-05,High Value
CS4757,2011-08-19,81,0,8,2011,19,2011-08,High Value
CS6039,2013-10-05,104,0,10,2013,5,2013-10,High Value
CS1580,2012-11-18,87,1,11,2012,18,2012-11,High Value
CS3815,2011-07-05,54,0,7,2011,5,2011-07,Medium Value
CS6063,2013-04-13,104,0,4,2013,13,2013-04,High Value
CS2226,2014-10-29,104,0,10,2014,29,2014-10,High Value
CS5367,2015-01-08,77,1,1,2015,8,2015-01,High Value
CS4581,2013-06-04,95,0,6,2013,4,2013-06,Medium Value
CS5004,2014-12-21,59,0,12,2014,21,2014-12,High Value
CS2164,2013-08-06,35,0,8,2013,6,2013-08,High Value
CS4590,2014-05-31,79,0,5,2014,31,2014-05,High Value
CS4600,2011-10-03,50,0,10,2011,3,2011-10,High Value
CS2122,2012-02-20,90,0,2,2012,20,2012-02,High Value
CS3060,2012-08-24,59,0,8,2012,24,2012-08,High Value
CS2217,2013-04-19,85,0,4,2013,19,2013-04,High Value
CS4288,2014-04-21,68,0,4,2014,21,2014-04,Medium Value
CS1568,2013-05-10,104,0,5,2013,10,2013-05,High Value
CS3442,2014-09-16,39,0,9,2014,16,2014-09,High Value
CS4883,2013-12-24,39,0,12,2013,24,2013-12,High Value
CS4911,2012-02-17,75,0,2,2012,17,2012-02,High Value
CS1533,2012-07-25,86,0,7,2012,25,2012-07,High Value
CS3103,2014-05-07,59,0,5,2014,7,2014-05,High Value
CS2185,2012-01-29,46,0,1,2012,29,2012-01,Medium Value
CS4094,2013-07-24,100,0,7,2013,24,2013-07,High Value
CS4354,2012-12-29,62,1,12,2012,29,2012-12,High Value
CS1939,2012-07-25,46,0,7,2012,25,2012-07,High Value
CS5516,2012-12-04,75,0,12,2012,4,2012-12,High Value
CS5664,2013-11-02,95,0,11,2013,2,2013-11,High Value
CS5068,2014-11-07,41,0,11,2014,7,2014-11,High Value
CS4376,2014-10-13,49,0,10,2014,13,2014-10,High Value
CS5825,2011-10-22,61,0,10,2011,22,2011-10,Medium Value
CS1871,2012-01-16,64,0,1,2012,16,2012-01,High Value
CS5046,2015-02-06,86,1,2,2015,6,2015-02,High Value
CS1259,2013-06-30,64,1,6,2013,30,2013-06,High Value
CS5664,2011-09-11,58,0,9,2011,11,2011-09,High Value
CS2986,2011-07-20,67,0,7,2011,20,2011-07,High Value
CS5510,2013-09-02,99,0,9,2013,2,2013-09,High Value
CS2845,2013-01-10,73,0,1,2013,10,2013-01,High Value
CS4077,2012-07-22,90,0,7,2012,22,2012-07,High Value
CS3466,2013-11-04,71,0,11,2013,4,2013-11,High Value
CS1508,2013-10-25,101,0,10,2013,25,2013-10,High Value
CS2469,2014-07-19,93,0,7,2014,19,2014-07,High Value
CS2767,2015-01-03,105,0,1,2015,3,2015-01,High Value
CS5790,2012-03-17,58,0,3,2012,17,2012-03,High Value
CS1710,2013-06-10,100,0,6,2013,10,2013-06,High Value
CS2554,2011-10-05,100,0,10,2011,5,2011-10,Medium Value
CS5283,2015-02-05,63,0,2,2015,5,2015-02,High Value
CS4050,2014-08-30,63,0,8,2014,30,2014-08,High Value
CS5975,2012-09-08,77,0,9,2012,8,2012-09,High Value
CS4227,2012-10-16,74,0,10,2012,16,2012-10,High Value
CS5983,2011-05-20,47,0,5,2011,20,2011-05,High Value
CS2490,2013-12-04,70,0,12,2013,4,2013-12,High Value
CS1696,2012-12-25,51,1,12,2012,25,2012-12,High Value
CS3209,2014-02-25,82,0,2,2014,25,2014-02,High Value
CS2942,2013-01-08,62,0,1,2013,8,2013-01,High Value
CS4981,2011-10-16,93,0,10,2011,16,2011-10,High Value
CS1397,2014-03-26,77,0,3,2014,26,2014-03,High Value
CS1903,2013-04-15,92,0,4,2013,15,2013-04,High Value
CS3754,2013-11-30,77,0,11,2013,30,2013-11,High Value
CS4763,2011-12-12,78,0,12,2011,12,2011-12,High Value
CS4413,2015-01-17,38,0,1,2015,17,2015-01,High Value
CS2333,2011-08-13,99,0,8,2011,13,2011-08,High Value
CS2798,2012-05-30,100,0,5,2012,30,2012-05,High Value
CS5033,2011-12-13,96,0,12,2011,13,2011-12,High Value
CS1420,2014-09-09,99,1,9,2014,9,2014-09,High Value
CS5132,2011-09-14,74,0,9,2011,14,2011-09,High Value
CS3058,2012-09-03,74,0,9,2012,3,2012-09,High Value
CS3692,2013-09-22,42,0,9,2013,22,2013-09,High Value
CS2463,2012-09-29,55,0,9,2012,29,2012-09,High Value
CS5209,2011-11-11,35,0,11,2011,11,2011-11,High Value
CS4581,2013-11-16,53,0,11,2013,16,2013-11,Medium Value
CS3424,2013-12-02,85,0,12,2013,2,2013-12,High Value
CS3207,2013-06-27,86,1,6,2013,27,2013-06,High Value
CS5763,2013-01-23,56,0,1,2013,23,2013-01,High Value
CS5772,2012-01-18,97,0,1,2012,18,2012-01,High Value
CS3673,2013-04-29,85,0,4,2013,29,2013-04,High Value
CS2887,2012-03-02,100,0,3,2012,2,2012-03,High Value
CS1596,2011-08-28,66,0,8,2011,28,2011-08,High Value
CS4299,2012-06-17,37,0,6,2012,17,2012-06,High Value
CS1492,2014-02-06,82,0,2,2014,6,2014-02,High Value
CS2313,2014-04-10,40,0,4,2014,10,2014-04,High Value
CS5385,2014-04-25,83,0,4,2014,25,2014-04,Medium Value
CS3441,2013-11-03,43,0,11,2013,3,2013-11,High Value
CS4701,2014-07-26,53,0,7,2014,26,2014-07,High Value
CS1746,2013-06-21,103,1,6,2013,21,2013-06,High Value
CS3276,2013-07-27,65,0,7,2013,27,2013-07,High Value
CS2555,2012-05-20,50,0,5,2012,20,2012-05,High Value
CS2569,2014-04-29,37,0,4,2014,29,2014-04,High Value
CS3426,2014-05-01,67,0,5,2014,1,2014-05,High Value
CS3052,2013-11-17,67,1,11,2013,17,2013-11,High Value
CS1993,2013-08-08,68,0,8,2013,8,2013-08,High Value
CS4908,2014-09-27,78,0,9,2014,27,2014-09,High Value
CS3021,2014-02-10,43,0,2,2014,10,2014-02,Medium Value
CS4424,2013-05-16,82,0,5,2013,16,2013-05,High Value
CS4841,2013-05-23,74,0,5,2013,23,2013-05,High Value
CS3486,2012-11-19,75,0,11,2012,19,2012-11,High Value
CS2218,2011-10-11,78,0,10,2011,11,2011-10,High Value
CS4779,2012-04-29,53,1,4,2012,29,2012-04,High Value
CS4226,2013-04-19,100,0,4,2013,19,2013-04,High Value
CS1653,2011-08-30,53,1,8,2011,30,2011-08,High Value
CS2533,2012-03-30,99,0,3,2012,30,2012-03,High Value
CS2905,2012-07-29,47,0,7,2012,29,2012-07,High Value
CS5169,2013-01-25,64,0,1,2013,25,2013-01,High Value
CS5142,2012-11-25,64,0,11,2012,25,2012-11,High Value
CS4390,2014-07-02,43,0,7,2014,2,2014-07,High Value
CS5668,2014-02-27,91,0,2,2014,27,2014-02,High Value
CS2896,2013-01-14,71,0,1,2013,14,2013-01,High Value
CS5156,2013-10-02,58,0,10,2013,2,2013-10,High Value
CS4200,2012-08-12,67,0,8,2012,12,2012-08,High Value
CS4391,2014-09-07,67,1,9,2014,7,2014-09,High Value
CS5408,2013-07-22,78,0,7,2013,22,2013-07,High Value
CS6019,2013-10-25,84,1,10,2013,25,2013-10,High Value
CS3981,2012-07-25,40,0,7,2012,25,2012-07,High Value
CS5925,2013-06-20,66,0,6,2013,20,2013-06,High Value
